"BILL OF MATERIAL FROM TEST_WIDERSTAENDE_AUS_RCL.SCH, 29 PARTS, GROUPED BY VALUES, AS OF 05.10.2010 16:00:00",,,,,,,,,,,,,,,,,,
Part,Value,Device,Package,Description,Description2,Qty,Place_YES/NO,Povided_by_customer_YES/NO,Distributor,Ordernumber,Weblink,Remarks_customer,Unit_price,Total_price,REMARKS_BETA,OPTION1,OPTION2,OPTION3
C1,100nF,C-EUC1210,C1210,"CAPACITOR, European symbol", ,1,YES,NO,Mouser,77-VJ1210Y104KXBTBC,http://uk.mouser.com/ProductDetail/Vishay-Vitramon/VJ1210Y104KXBTW1BC/?qs=sGAEpiMZZMukHu%252bjC5l7YZdHslap%2fh4%252bPZvW%252bCyWEGs=, ,0.083,0.83, , , , 
"C2, C4",47uF,CPOL-EUC,PANASONIC_C,"POLARIZED CAPACITOR, European symbol", ,2,YES,NO,Mouser,667-EEE-1CA470WR,http://uk.mouser.com/ProductDetail/Panasonic/EEE-1CA470WR/?qs=%2fha2pyFaduhUYfSQCQ5keEwpx4NzhiSi6lfST50vxy4%3d, ,0.241,0.482, , , , 
"C3, C5, C6, C8, C9, C10, C14, C17, C20, C23, C24, C25, C26, C27",100nF,C-EUC0603,C0603,"CAPACITOR, European symbol", ,14,YES,NO,Mouser,810-C1608X7R1H104K,http://uk.mouser.com/ProductDetail/TDK/C1608X7R1H104K080AA/?qs=sGAEpiMZZMsh%252b1woXyUXj0VscQlT5uEBkIFwA2Pat1o%3d,,0.032,0.448, , , , 
"C7, C13",10uF,C-EUC0805,C0805,"CAPACITOR, European symbol","Capacitor, 0805, 10uF, 16V",2,YES,NO,Mouser,80-C0805C106M4P,http://uk.mouser.com/ProductDetail/Kemet/C0805C106M4PACTU/?qs=sGAEpiMZZMukHu%252bjC5l7YbCsj8HOHYpEPkFGiyXQsys%3d,,0.128,0.256, , , , 
C11,DNF,C-EUC0603,C0603,"CAPACITOR, European symbol", ,1,No ,NO,Mouser,,,, , , , , , 
C12,22uF,C-EUC1210,C1210,"CAPACITOR, European symbol", ,1,YES,NO,Mouser,963-EMK325F226ZN-T,http://uk.mouser.com/ProductDetail/Taiyo-Yuden/EMK325F226ZN-T/?qs=sGAEpiMZZMukHu%252bjC5l7YV1nw42DH00CORkORZbpa%252bQ%3d,,0.269,0.269, , , , 
"C15, C18, C21",2.2uF,C-EUC0603,C0603,"CAPACITOR, European symbol", ,3,YES,NO,Mouser,81-GRM18F50J225ZE01D,http://uk.mouser.com/ProductDetail/Murata-Electronics/GRM188F50J225ZE01D/?qs=sGAEpiMZZMukHu%252bjC5l7YUSw2QhJxqfWJ8P1LuvDAXs%3d,,0.07,0.21, , , , 
"C16, C19, C22",10nF,C-EUC0603,C0603,"CAPACITOR, European symbol", ,3,YES,NO,Mouser,77-VJ0603Y103KXACBC,http://uk.mouser.com/ProductDetail/Vishay-Vitramon/VJ0603Y103KXACW1BC/?qs=sGAEpiMZZMukHu%252bjC5l7YTM9MFviPZ9Dnn1uZcdCtVE%3d,,0.038,0.114, , , , 
CN1,ManNum: 694106106102,DCBARRELSMT,DCJACK_2MM_SMT,2.0mm DC Barrel Jack, ,1,YES,NO,Mouser,710-694106106102,http://uk.mouser.com/ProductDetail/Wurth-Electronics/694106106102/?qs=%2fha2pyFadugSblElKAPxXEv57HMu%2fd%252bSz5zjhshzx41hVUdka6tkTA%3d%3d,,1.18,1.18, , , , 
CN2,CLIFF_FC68127_3.5MM_4POLE,CLIFF_FC68127_3.5MM_4POLE,CLIFF_FC68126_4POLE_3.5MM, , ,1,YES,NO,Farnell,2309470,http://uk.farnell.com/cliff-electronic-components/fc68127/connector-phono-3-5mm-jack-4pole/dp/2309470?ost=FC68127,,0.842,0.842, , , , 
"GND_TEST, VCC_TEST",DNF,HEADER-1X1ROUND,1X01_ROUND,PIN HEADER, ,2,No ,NO,Mouser,,,, , , , , , 
IC1,ATMEGA2560-16AU,ATMEGA2560-16AU,TQFP100,MICROCONTROLLER, ,1,YES,NO,Mouser,556-ATMEGA2560-16AU,http://uk.mouser.com/ProductDetail/Atmel/ATmega2560-16AU/?qs=sGAEpiMZZMvqv2n3s2xjsVIKSdqlAUq67FxyjUE6IyE%3d,,10.48,10.48, , , , 
J1,CON_HEADER_1X05-PTH,CON_HEADER_1X05-PTH,M1X5, , ,1,No ,NO,Mouser,,,, , , , , , 
J2,CON_HEADER_2X04-PTH,CON_HEADER_2X04-PTH,M2X4, , ,1,No ,NO,Mouser,,,, , , , , , 
J3,DNF,AVRISP-6,AVRISP,AVR ISP HEADER, ,1,No ,NO,Mouser,,,, , , , , , 
L1,L1812 - 3.3uH - 1800403RL,INDUCTOR-L1812,L1812,Inductor, ,1,YES,NO,Mouser,710-744045003,http://uk.mouser.com/ProductDetail/Wurth-Electronics/744045003/?qs=%2fha2pyFaduhFBBt4kQbcZYPN9PBc9kHHKOl70jOzxCk%3d,,0.637,0.637, , , , 
"LED2, LED4",Blue,LED0805,CHIPLED_0805,LED, ,2,YES,NO,Mouser,710-150080BS75000,http://uk.mouser.com/ProductDetail/Wurth-Electronics/150080BS75000/?qs=sGAEpiMZZMsn4IaorHFpMOhEYHAZ2TnJvWGD0sDd9z0%3d,,0.196,0.392, , , , 
"LED1, LED3, LED5",Green,LED0805,CHIPLED_0805,LED, ,3,YES,NO,Mouser,10-150080VS75000,http://uk.mouser.com/ProductDetail/Wurth-Electronics/150080VS75000/?qs=sGAEpiMZZMvtrnhC60i%252bOvb2BDOickJvqyUk0ktOJVs%3d,,0.182,0.546, , , , 
"M1, M2, M3, M4, M5, M6",SFW5R-1STE1LF,SFW5R-1STE1LF,FCI_SFW5R-1STE1LF,"FFC/FPC CONNECTOR, RECEPTACLE, 5POS 1ROW", ,6,YES,NO,Mouser,649-SFW5R-1STE1LF,http://uk.mouser.com/ProductDetail/FCI/SFW5R-1STE1LF/?qs=%2fha2pyFadugurRo7o2AalOwT9ADAn%2fDGQhqAEPBXNgVPF%252bphPClXew%3d%3d,,0.548,3.288, , , , 
R1,100K,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",1,YES,NO,Mouser,71-CRCW0603-100K-E3,http://uk.mouser.com/ProductDetail/Vishay-Dale/CRCW0603100KFKEA/?qs=sGAEpiMZZMtlubZbdhIBIB%2fQZSBhGPU9xU%252buD%2f9ZbLY%3d,,0.064,0.064, , , , 
R2,19.1K,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",1,YES,NO,Mouser,71-TNPW060319K1BEEN,http://uk.mouser.com/ProductDetail/Vishay/TNPW060319K1BEEN/?qs=sGAEpiMZZMukHu%252bjC5l7YWnzinYcx146P%252b01qE7pots%3d,,0.056,0.056, , , , 
"R3, R4, R5, R6, R7, R11",10K,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",6,YES,NO,Mouser,71-CRCW0603-10K-E3,http://uk.mouser.com/ProductDetail/Vishay-Dale/CRCW060310K0FKEA/?qs=sGAEpiMZZMtlubZbdhIBIEuCdpikRWPQrbrU%252bxt1If0%3d,,0.064,0.384, , , , 
"R8, R12",0R,R-EU_R0603,R0603,"RESISTOR, European symbol", ,2,YES,NO,Mouser,667-ERJ-3GEY0R00V,http://uk.mouser.com/ProductDetail/Panasonic/ERJ-3GEY0R00V/?qs=sGAEpiMZZMtlubZbdhIBINgtzHusu9q%252bP7kcANZAd7E%3d,,0.064,0.128, , , , 
"R9, R10",DNF,R-EU_R0603,R0603,"RESISTOR, European symbol", ,2,No ,NO,Mouser,,,, , , , , , 
"R13, R14, R15, R16, R17, R18, R19",1K,R-EU_R0603,R0603,"RESISTOR, European symbol","RESISTOR, 0.1W, 1%",7,YES,NO,Mouser,71-CRCW0603-1.0K-E3,http://uk.mouser.com/ProductDetail/Vishay-Dale/CRCW06031K00FKEA/?qs=sGAEpiMZZMtlubZbdhIBIIDYYWLC5QWgFXAApV6iVKs%3d,,0.064,0.448, , , , 
U1,ST1S10PUR,ST1S10PUR,DFN400X400X100-9N,"BUCK, 2.5-18V, 900KHZ, 3A, 0.8V, 8DFN", ,1,YES,NO,Mouser,511-ST1S10PUR,http://uk.mouser.com/ProductDetail/STMicroelectronics/ST1S10PUR/?qs=%2fha2pyFaduh%2fd8RwASfIbitcnB0A3lfPhgjLILqNtPM%3d, ,1.27,1.27, , , , 
"U2, U3, U4",DRV8833RTYT,DRV8833RTYT,QFN65P400X400X80-17N,"DUAL H-BRIDGE MOTOR DRIVER,QFN-16", ,3,YES,NO,Mouser,595-DRV8833RTYT,http://uk.mouser.com/ProductDetail/Texas-Instruments/DRV8833RTYT/?qs=sGAEpiMZZMtKB4wrjsn3lXloPDKF9GrQi%252bTX1wTejJ8%3d, ,2,2, , , , 
U5,FT231XQ-R,FT231XQ-R,FTDI_FT231XQ-R_PACKAGE,This is the 20-LD QFN package of the FTDI FT231XQ-R chip., ,1,YES,NO,Mouser,895-FT231XQ-R,http://uk.mouser.com/ProductDetail/FTDI/FT231XQ-R/?qs=sGAEpiMZZMtv%252bwxsgy%2fhiIaF6qCroMVRGjC5PJD3fJk%3d, ,1.41,1.41, , , , 
U6,CSTCE_V13C_CERAMIC_RES,CSTCE_V13C_CERAMIC_RES,CSTCE_V13C_CERAMI_RES, , ,1,YES,NO,Mouser,81-CSTCE16M0V53-R0,http://uk.mouser.com/ProductDetail/Murata/CSTCE16M0V53-R0/?qs=%2fha2pyFaduhhXjHR0Z3WgVvZP5Z9PaySiX%2f9%2fizYDMG1BrpSTX4aLw%3d%3d, ,0.322,0.322, , , , 
USB1,CON-USB-F-MICRO-B,CON-USB-F-MICRO-B,CONN_USB_MICRO-B,USB Female connector, ,1,YES,NO,Mouser,649-10104110-0001LF,http://uk.mouser.com/ProductDetail/FCI/10104110-0001LF/?qs=sGAEpiMZZMulM8LPOQ%252byk21LA%252bQh6Mc3wgDJyrpOF4s%3d, ,0.515,0.515, , , , 
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total,26.571,,,,
